weekday,start,end,title,location,tags
Mon,12:20,13:45,Параллельные и распределенные вычисления,239 Квант,Lecture;CS
Mon,13:55,15:20,Вычислительная математика,802 КПМ,Lecture;Math

Tue,09:00,10:25,Физическая культура,UNK,Sport
Tue,13:55,15:20,Вычислительная математика,110 КПМ,Lecture;Math
Wed,17:05,18:30,Иностранный язык,307 НК,Language

Wed,10:45,12:10,Параллельные и распределенные вычисления,425 Физтех. Арктика,Lecture;CS
Wed,15:30,16:55,Разработка на Golang,202 Квант,Programming
Wed,17:05,18:30,Разработка на Golang,202 Квант,Programming

Thu,09:00,10:30,Промышленное программирование,ONLINE,Lecture;CS
Thu,17:05,18:30,Иностранный язык,307 НК,Language

Fri,10:45,12:10,Физическая культура,UNK,Sport
Fri,18:35,20:00,Инновационная практика,115 КПМ,Practic

Sat,17:05,18:30,Введение в анализ данных,Б. Хим,Data
Sat,18:35,20:00,Введение в анализ данных,Б. Хим,Data

